site_name,family_code,region,latitude,longitude
Matitila,BC(BMS)18,Hhohho,-26.04755,31.20538
Nkhaba,BC(BMS)01,Hhohho,-26.0755,31.150695
Zone 4,BC(BMS)10,Hhohho,-26.335784,31.121797
Motshane,BC(BMS)28,Hhohho,-26.250556,31.063729
Mahwalala,BC(BMS)00,Hhohho,-26.327569,31.121797
Luyengo,BC(BMS)13,Manzini,-27.13,31.3517
Maliyaduma,BC(BMS)05,Manzini,-26.438297,31.414532
Mankayane,BC(BMS)F01,Manzini,-26.734664,30.999813
Ngcwaleni,BC(BMS)48,Lubombo,-26.73644341,31.7125005
Mbadlane,BC(BMS)39,Lubombo,-26.443801,31.7125005
Siteki Moyeni,BC(BMS)88,Lubombo,-26.454601,31.955615
Siphofaneni,BC(BMS)F02,Lubombo,-26.67206001,31.709325
Mkhuzweni,BC(BMS)61,Hhohho,-25.8916178,31.3418244
Msahweni,BC(BMS)81,Hhohho,-26.0345,31.3116504
Big Bend,BC(BMS)86,Lubombo,-26.454672,31.9594845
Mankayane,BC(BMS)F03,Manzini,-26.415,31.04485
