site_slug,year,hours_ploughed,families_impacted,hectares_ploughed,notes
bulunga,2023,50.0,33,75.0,
gebeni,2023,50.0,37,75.0,
gundvwini,2023,36.0,28,54.0,
hawane,2023,50.0,36,75.0,
jubukweni,2023,49.0,31,73.5,
kaliba,2023,50.0,38,75.0,
lavumisa,2023,3.0,3,4.5,
lonhlalane,2023,50.0,34,75.0,
lundzi,2023,57.0,20,85.5,
lushikishini,2023,16.0,7,24.0,
mangcongco,2023,50.0,35,75.0,
mbowane,2023,50.0,33,75.0,
mcuba,2023,50.0,43,75.0,
mhlangatane,2023,50.0,46,75.0,
mlindazwe,2023,50.0,31,75.0,
mpuluzi,2023,50.0,24,75.0,
msahweni,2023,50.0,41,75.0,
ngwempisi,2023,52.0,25,78.0,
nsubane,2023,50.0,26,75.0,
nyathela,2023,50.0,32,75.0,
sibovini,2023,50.0,30,75.0,
sigangeni,2023,50.0,29,75.0,
sigcaweni,2023,50.0,36,75.0,
sigengeni,2023,50.0,32,75.0,
sigombeni,2023,50.0,41,75.0,
zondwako,2023,50.0,36,75.0,
bulunga,2024,50.0,31,75.0,
engcamini,2024,50.0,25,75.0,
gebeni,2024,51.0,43,76.5,
gundvwini,2024,44.0,37,66.0,
hawane,2024,53.9,34,80.85,
jubukweni,2024,50.5,26,75.75,
kaliba,2024,50.0,32,75.0,
kancesi,2024,7.0,7,10.5,
lonhlalane,2024,50.0,37,75.0,
lundzi,2024,50.0,25,75.0,
lushikishini,2024,35.0,14,52.5,
mabhukwini,2024,141.49,63,212.235,"Aggregated workbook rows: Mabhukwini ICBC, Mabhukwini Indvuna ICBC"
makhungutja,2024,41.0,32,61.5,
mangcongco,2024,50.0,30,75.0,
mantabeni,2024,50.0,37,75.0,
mbowane,2024,50.0,21,75.0,
mcuba,2024,50.0,29,75.0,
mhlangatane,2024,50.0,49,75.0,
mlindazwe,2024,49.0,31,73.5,
mpuluzi,2024,50.0,24,75.0,
msahweni,2024,51.0,37,76.5,
ngwempisi,2024,54.0,28,81.0,
njakeni,2024,50.0,40,75.0,
nsubane,2024,75.0,41,112.5,
nyathela,2024,50.0,26,75.0,
phonjwane,2024,50.0,39,75.0,
phuzweni,2024,50.0,13,75.0,
pine-valley,2024,33.0,25,82.0,
sibovini,2024,40.0,13,60.0,
sigangeni,2024,53.5,15,80.25,
sigcaweni,2024,50.0,32,75.0,
sigengeni,2024,50.0,35,75.0,
sigombeni,2024,50.0,41,75.0,
tibane,2024,50.0,30,75.0,
zondwako,2024,50.0,29,75.0,
bulunga,2025,50.0,34,75.0,
engcamini,2025,50.0,33,75.0,
gebeni,2025,51.0,36,76.5,
gundvwini,2025,50.0,33,75.0,
hawane,2025,50.0,42,75.0,
jubukweni,2025,50.0,22,75.0,
kaliba,2025,50.0,32,75.0,
lonhlalane,2025,50.0,50,75.0,
lundzi,2025,50.0,26,75.0,
lushikishini,2025,33.0,21,49.5,
mabhukwini,2025,66.0,34,99.0,"Aggregated workbook rows: Mabhukwini ICBC, Mabhukwini Community Fields"
makhungutja,2025,50.0,27,75.0,
mangcongco,2025,50.7,32,76.05,
mantabeni,2025,70.0,58,105.0,
mcuba,2025,50.0,34,75.0,
mhlabubovu,2025,50.0,31,75.0,
mhlangatane,2025,50.0,50,75.0,
mlindazwe,2025,50.0,33,75.0,
mpuluzi,2025,50.0,32,75.0,
msahweni,2025,51.0,47,76.5,
ngwempisi,2025,50.0,31,75.0,
ngwenya,2025,50.0,34,75.0,
njakeni,2025,50.0,40,75.0,
nsingweni,2025,22.0,18,33.0,
nsubane,2025,35.0,15,52.5,
ntondozi,2025,50.9,37,76.35,
nyakeni,2025,27.0,23,40.5,
nyamane,2025,46.0,42,69.0,
nyathela,2025,50.0,26,75.0,
phonjwane,2025,51.0,34,76.5,
phuzweni,2025,50.0,36,75.0,
sibovini,2025,51.0,29,76.5,
sigangeni,2025,52.0,22,78.0,
sigcaweni,2025,50.0,32,75.0,
sigengeni,2025,50.0,25,75.0,
sigombeni,2025,50.0,40,75.0,
tibane,2025,50.0,18,75.0,
zondwako,2025,50.0,27,75.0,
