site_slug,children_count,snapshot_date,year,teachers_count,children_impacted_since_inception,notes
bulunga,27,2024-06-01,2024,2,,"Teachers: 2, Children: 27"
engcamini,32,2024-06-01,2024,1,,"Teachers: 1, Children: 32"
gebeni,20,2024-06-01,2024,1,,"Teachers: 1, Children: 20"
hawane,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
jubukweni,25,2024-06-01,2024,1,,"Teachers: 1, Children: 25"
kaliba,36,2024-06-01,2024,2,,"Teachers: 2, Children: 36"
kancesi,38,2024-06-01,2024,2,,"Teachers: 2, Children: 38"
lavumisa,37,2024-06-01,2024,2,,"Teachers: 2, Children: 37"
lonhlalane,25,2024-06-01,2024,2,,"Teachers: 2, Children: 25"
lundzi,28,2024-06-01,2024,2,,"Teachers: 2, Children: 28"
lushikishini,28,2024-06-01,2024,2,,"Teachers: 2, Children: 28"
mangcongco,21,2024-06-01,2024,1,,"Teachers: 1, Children: 21"
mbowane,20,2024-06-01,2024,1,,"Teachers: 1, Children: 20"
mhlangatane,37,2024-06-01,2024,2,,"Teachers: 2, Children: 37"
mlindazwe,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
mpolonjeni,36,2024-06-01,2024,2,,"Teachers: 2, Children: 36"
mpuluzi,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
msahweni,35,2024-06-01,2024,2,,"Teachers: 2, Children: 35"
ngwempisi,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
ngwenya,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
nsubane,30,2024-06-01,2024,2,,"Teachers: 2, Children: 30"
nyathela,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
sibovini,23,2024-06-01,2024,2,,"Teachers: 2, Children: 23"
sigangeni,24,2024-06-01,2024,2,,"Teachers: 2, Children: 24"
sigcaweni,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
sigombeni,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
sigengeni,34,2024-06-01,2024,2,,"Teachers: 2, Children: 34"
tibane,28,2024-06-01,2024,1,,"Teachers: 1, Children: 28"
zondwako,37,2024-06-01,2024,2,,"Teachers: 2, Children: 37"
gundvwini,31,2023-06-01,2023,2,,"Teachers: 2, Children: 31"
makhungutja,25,2024-06-01,2024,1,,"Teachers: 1, Children: 25"
mantabeni,26,2024-06-01,2024,2,,"Teachers: 2, Children: 26"
mcuba,33,2024-06-01,2024,1,,"Teachers: 1, Children: 33"
njakeni,40,2024-06-01,2024,2,,"Teachers: 2, Children: 40"
phonjwane,26,2024-06-01,2024,1,,"Teachers: 1, Children: 26"
mhlabubovu,33,2024-06-01,2024,1,,"Teachers: 1, Children: 33"
moneni,36,2024-06-01,2024,2,,"Teachers: 2, Children: 36"
mabhukwini,23,2024-06-01,2024,2,,"Teachers: 2, Children: 23"
