site_slug,avg_home_visits_per_week,avg_men,avg_women,avg_youth,avg_children,weeks_recorded
bulunga,3.7,1.7,2.8,10.4,16.1,261
engcamini,1.2,7.6,16.2,16.8,66.6,242
gebeni,3.5,4.3,13.4,18.4,30.0,266
gundvwini,1.1,5.6,11.0,11.0,30.7,132
hawane,3.4,16.1,38.9,68.6,75.0,267
jubukweni,2.6,2.5,6.8,9.2,10.6,217
kaliba,2.7,2.8,9.9,19.4,30.5,262
kancesi,6.4,6.5,17.3,15.0,30.2,257
lavumisa,4.1,3.5,15.1,20.1,41.0,263
lonhlalane,1.5,1.9,5.9,10.2,23.6,252
lundzi,3.6,7.0,11.5,11.7,22.7,238
lushikishini,0.8,2.8,10.3,7.4,16.1,218
mabhukwini,1.0,2.3,9.5,7.6,26.9,95
makhungutja,1.1,5.2,8.7,12.2,41.2,98
mangcongco,1.1,2.1,5.1,14.5,24.2,252
mantabeni,1.7,2.6,6.8,7.5,26.0,112
mbowane,2.9,1.5,5.5,10.7,15.1,250
mcuba,1.4,4.4,14.5,18.2,32.8,141
mhlabubovu,0.9,2.9,9.4,16.7,24.7,203
mhlangatane,2.5,1.7,7.1,7.9,18.9,260
mlindazwe,4.3,2.3,8.8,19.7,36.9,257
moneni,3.8,6.1,16.9,32.8,52.4,100
mpolonjeni,0.8,4.8,17.0,12.7,29.1,251
mpuluzi,6.1,12.9,32.8,22.5,54.5,265
msahweni,2.3,6.1,22.6,31.5,49.3,263
ngwempisi,1.1,3.4,19.9,17.3,33.2,259
ngwenya,6.9,5.8,14.6,20.3,37.0,257
njakeni,3.1,2.5,8.6,11.6,20.6,124
nsingweni,0.0,0.4,1.9,15.0,22.2,45
nsubane,5.4,4.6,11.8,18.8,36.0,246
ntondozi,1.0,3.3,10.6,28.6,41.0,43
nyakeni,1.9,1.8,3.7,5.5,14.7,36
nyamane,6.2,5.1,27.1,13.1,30.0,57
nyathela,2.8,3.5,8.9,16.8,25.7,266
phonjwane,2.5,3.2,16.6,29.0,61.9,118
phuzweni,0.9,3.5,7.5,5.6,25.3,72
pine-valley,0.0,7.6,19.3,44.6,40.1,76
sibovini,0.2,4.6,13.3,13.0,34.5,258
sigangeni,3.9,6.6,6.4,9.4,26.4,216
sigcaweni,5.9,6.0,9.7,26.7,54.1,260
sigengeni,1.9,2.8,10.3,13.3,50.5,192
sigombeni,9.2,7.2,13.5,18.0,30.9,215
tibane,8.2,2.1,12.2,16.9,35.6,257
zondwako,0.4,2.8,5.3,16.5,34.7,238
